key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
0,0,2.2753,0,0,0,21,1,22,lacayo,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.9755,0,1,1,82,1,83,guante,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,0,0.6843,0,2,2,2,1,3,pulmones,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.8667,0,3,3,42,1,43,canela,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.9167,0,4,4,33,1,34,aviso,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,0,0.5903,0,5,5,38,1,39,torpe,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,0,0.9255,0,6,6,15,1,16,abracer,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,1,0.635,0,7,7,32,1,33,pauca,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,0,0.7829,0,8,8,16,1,17,floroso,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,0,0.8313,0,9,9,44,1,45,jilguero,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.7188,0,10,10,39,1,40,alfombra,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,0,0.7104,0,11,11,63,1,64,orgulloso,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,0,0.7593,0,12,12,46,1,47,cartinar,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.5513,0,13,13,61,1,62,flaco,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.6852,0,14,14,76,1,77,tiburón,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,0,0.6398,0,15,15,3,1,4,batillón,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,0,0.8037,0,16,16,71,1,72,pemición,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,1,0.9473,0,17,17,18,1,19,brecedad,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,0,0.9308,0,18,18,60,1,61,seda,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.8945,0,19,19,1,1,2,pellizcar,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.6322,0,20,20,45,1,46,martillo,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,1,1.0441,0,21,21,26,1,27,acutación,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,1,0.8905,0,22,22,20,1,21,capillo,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,1,0.6612,0,23,23,89,1,90,clavel,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,0,0.7063,0,24,24,5,1,6,tergiversar,1,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
1,0,0.7344,0,25,25,49,1,50,flamida,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,1,0.6511,0,26,26,17,1,18,arsa,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
0,1,0.634,0,27,27,31,1,32,fatacidad,0,REAL,FAKE,6027eac2f4090f09439ee8e4,Spanish Spanish,2025-04-30_21h07.35.853,lextale_sp,2021.2.3,MacIntel,59.17159763,,
