key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,word,correct_response,button_real,button_false,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt
0,1,2.2721,0,0,0,18,1,19,brecedad,0,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
0,1,1.0087,0,1,1,32,1,33,pauca,0,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
1,0,0.7871,0,2,2,65,1,66,hacido,0,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
1,1,0.8546,0,3,3,47,1,48,ladrón,1,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
0,0,0.8473,0,4,4,8,1,9,hacha,1,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
0,1,0.9358,0,5,5,57,1,58,plaudir,0,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
0,0,0.734,0,6,6,27,1,28,merodear,1,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
1,1,0.8505,0,7,7,30,1,31,pandilla,1,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
1,1,0.7157,0,8,8,6,1,7,pésimo,1,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
1,1,0.7538,0,9,9,85,1,86,barato,1,REAL,FAKE,610b5ab7c6387ecf37ea0630,castellano,2022-03-17_09h43.13.004,lextale_sp,2021.2.3,Win32,60.0024001,,
