"","ppt","source","word","type","correct_reponse","key_resp_lextale_trial.keys","key_resp_lextale_trial.corr","key_resp_lextale_trial.rt","is_correct","log_rt"
"1",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","test","three_way_cognate","1","1","0",1.3851,1,0.325772339198916
"2",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","crene","pseudoword","0","0","1",1.3998,1,0.336329369273302
"3",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","golf","three_way_cognate","1","1","0",0.6495,1,-0.431552442871483
"4",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","medón","pseudoword","0","0","1",0.7843,1,-0.242963678763516
"5",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","mortal","two_way_cognate","1","1","0",0.9021,1,-0.103029900319544
"6",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","rombar","pseudoword","0","0","1",1.5148,1,0.415283417045503
"7",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","escare","pseudoword","0","0","1",1.2168,1,0.196224461962946
"8",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","tirafa","pseudoword","0","0","1",1.4361,1,0.361931106084436
"9",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","tumor","three_way_cognate","1","1","0",0.5972,1,-0.515503213317102
"10",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","viarle","pseudoword","0","0","1",0.7811,1,-0.247052096365885
"11",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","aurora","two_way_cognate","1","1","0",0.5982,1,-0.51383013278629
"12",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","coyo","pseudoword","0","0","1",0.8541,1,-0.157706996030036
"13",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","flora","three_way_cognate","1","1","0",0.652,1,-0.427710717055484
"14",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","total","two_way_cognate","1","1","0",0.6018,1,-0.507830114786192
"15",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","sierra","non_cognate","1","1","0",1.3719,1,0.316196640349982
"16",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","extra","three_way_cognate","1","1","0",0.6,1,-0.510825623765991
"17",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","disco","three_way_cognate","1","1","0",0.7197,1,-0.328920820468378
"18",1,"/Users/kyleparrish/Documents/GitHub/l3_cognate_study_pilot/data/raw/5fb16308dc5973607fa3041c_empathy_intonation_perc_2024-06-07_07h33.44.669.csv","fruzas","pseudoword","0","0","1",0.7938,1,-0.230923738633172
