lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0067,110.4699,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.4704,124.5586,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.5588,134.8908,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.8911,143.9066,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,143.9108,149.1895,1,0,4.7451,,149.1898,150.1893,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,150.1898,154.1554,1,1,3.4305,,154.1555,155.1554,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,155.1557,158.9383,1,0,3.2472,,158.9384,159.9383,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,159.9387,164.1877,1,0,3.7191,,164.1877,165.1877,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,165.188,168.7874,0,1,3.0667,,168.7875,169.7871,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,63b87d2c9edd47ad702413a1,001,2025-05-01_12h30.45.276,empathy_intonation_perc,2024.1.4,Win32,60.24096386,169.7876,174.7867,1,1,4.4639,,174.7868,175.7866,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
