lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0062,7.3944,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.3963,15.2423,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.2438,34.539,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.5399,47.021,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,47.0559,52.821,0,1,5.2279,,52.8445,53.8207,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,53.822,56.3696,1,1,2.0126,,56.3696,57.3693,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,57.3979,59.952,1,0,2.0303,,59.9522,60.9522,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,60.9529,63.7015,1,0,2.2123,,63.7016,64.7014,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,64.7316,66.9847,0,1,1.7329,,66.9848,67.9843,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,68.0124,70.6339,1,1,2.0975,,70.6341,71.634,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,71.6629,73.7173,1,0,1.5279,,73.7175,74.7173,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,74.7181,78.2335,1,0,2.9787,,78.2337,79.2331,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,79.2624,81.0325,1,1,1.244,,81.0326,82.0323,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,82.033,83.4822,1,1,0.9129,,83.4824,84.4819,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,84.4828,86.3991,0,1,1.3823,,86.3991,87.3983,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,87.4284,110.8455,0,1,22.9006,,110.8456,111.8457,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,111.8471,115.1121,,,,,,,,,,,,,,,
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,46,cumbre,,,,,,115.1475,131.9447,1,0,16.2639,,0,0,0,45,1,non_cognate,1,REAL,FALSA
,,,,,,,,,65df409ed4caf8deef4ae2b0,001,2024-06-03_09h41.01.253,empathy_intonation_perc,2024.1.4,Win32,60.24096386,,,,,,,,,,,,,,34,sermón,,,,,,131.9732,144.2247,1,0,11.7257,,0,1,1,33,1,non_cognate,1,REAL,FALSA
