lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0128,9.8558,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.8573,14.0965,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0973,16.5093,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5111,18.8985,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,18.9071,25.0823,1,0,5.6429,,25.0827,26.0768,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,26.0793,29.4943,1,1,2.8734,,29.4945,30.4861,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,30.4873,34.3469,0,1,3.3173,,34.3471,35.3448,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,35.3455,37.7103,0,1,1.8195,,37.7105,38.7126,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,38.7134,40.3854,0,1,1.1349,,40.3856,41.3734,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,41.3757,43.2815,0,0,1.3679,,43.2823,44.2799,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,44.2812,47.5232,0,1,2.6949,,47.5237,48.5216,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,48.523,71.3151,0,1,22.2514,,71.3152,72.3129,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,72.3357,74.7918,1,1,1.9205,,74.7918,75.791,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,75.7916,77.5704,1,1,1.2402,,77.5706,78.5686,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,78.5906,80.5647,1,0,1.4357,,80.5648,81.5638,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,81.5646,112.6399,0,1,30.5315,,112.64,113.6419,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,,,,,,113.6432,173.9736,,,,,,,,,,,,,,,
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,90,venado,,,,,,174.0221,192.1066,1,0,17.5428,,0,0,0,89,1,non_cognate,1,REAL,FALSA
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,26,enigma,,,,,,192.1284,209.8937,1,0,17.2295,,0,1,1,25,1,two_way_cognate,1,REAL,FALSA
,,,,,,,,,664a04cfda51f0fe3594455a,001,2024-06-30_05h38.34.713,empathy_intonation_perc,2024.1.4,Linux x86_64,30.12048193,,,,,,,,,,,,,,80,cuenco,,,,,,209.9155,227.8112,1,0,17.3596,,0,2,2,79,1,non_cognate,1,REAL,FALSA
