lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0045,46.593,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.5935,56.9021,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.9114,65.9305,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.9401,89.9069,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,89.9199,92.4019,1,0,1.9638,,92.4021,93.3994,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,93.3998,95.8766,1,1,1.9515,,95.8767,96.8744,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,96.8837,99.4508,1,0,2.048,,99.4508,100.4492,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,100.4585,102.6607,1,0,1.6784,,102.6607,103.6586,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,103.6589,108.2976,1,0,4.1078,,108.2977,109.2952,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,5dd6d370194e486498e13ab6,001,2024-06-02_08h24.52.709,empathy_intonation_perc,2024.1.4,MacIntel,60.60606061,109.3052,112.5042,0,0,2.6786,,112.5042,113.5019,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
