lextale_instructions.started,lextale_instructions.stopped,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,lextale_practice.started,lextale_practice.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,lextale_practice_feedback.started,lextale_practice_feedback.stopped,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,lextale_check.started,lextale_check.stopped,lextale_trial.started,lextale_trial.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,type,correct_reponse,button_real,button_false
0.0024,7.7399,0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7491,9.0524,0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0528,19.9096,0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.9209,24.457,0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,24.4704,26.3434,1,0,1.3526,,26.3437,27.3383,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,27.3391,28.7695,1,1,0.8992,,28.7696,29.7691,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,29.7701,31.1011,1,0,0.7948,,31.1013,32.1001,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,32.1315,35.1809,0,1,2.5272,,35.181,36.1801,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,36.2108,37.6288,1,0,0.8943,,37.6289,38.628,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,38.6293,39.8935,0,0,0.733,,39.8937,40.8931,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,40.8945,42.2915,0,1,0.8608,,42.2916,43.291,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,43.2925,44.5726,0,1,0.743,,44.5727,45.5732,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,45.5744,46.7712,1,1,0.6609,,46.7714,47.7708,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,47.7722,48.9529,1,1,0.6455,,48.953,49.9522,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,49.9536,51.2009,0,1,0.7103,,51.2011,52.2003,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,52.2319,53.4659,0,1,0.7118,,53.4662,54.4656,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,54.4676,55.1986,,,,,,,,,,,,,,,
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,100,épinas,,,,,,55.2336,56.4472,1,0,0.6807,,0,0,0,99,1,pseudoword,0,REAL,FALSA
,,,,,,,,,66697abfce8185370e15dc8c,001,2024-06-30_05h32.33.862,empathy_intonation_perc,2024.1.4,Win32,59.88023952,,,,,,,,,,,,,,192,próces,,,,,,56.4483,57.6462,1,0,0.6614,,0,1,1,191,1,pseudoword,0,REAL,FALSA
